"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.keiruaprod.fr/213.186.33.4","443","INFO","HTTP","",""
"pre_128cipher","www.keiruaprod.fr/213.186.33.4","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.keiruaprod.fr/213.186.33.4","443","OK","not offered","",""
"SSLv3","www.keiruaprod.fr/213.186.33.4","443","OK","not offered","",""
"TLS1","www.keiruaprod.fr/213.186.33.4","443","INFO","not offered","",""
"TLS1_1","www.keiruaprod.fr/213.186.33.4","443","INFO","not offered","",""
"TLS1_2","www.keiruaprod.fr/213.186.33.4","443","OK","offered","",""
"TLS1_3","www.keiruaprod.fr/213.186.33.4","443","OK","offered with final","",""
"ALPN_HTTP2","www.keiruaprod.fr/213.186.33.4","443","OK","h2","",""
"cipherlist_NULL","www.keiruaprod.fr/213.186.33.4","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.keiruaprod.fr/213.186.33.4","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.keiruaprod.fr/213.186.33.4","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.keiruaprod.fr/213.186.33.4","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.keiruaprod.fr/213.186.33.4","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.keiruaprod.fr/213.186.33.4","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.keiruaprod.fr/213.186.33.4","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.keiruaprod.fr/213.186.33.4","443","OK","offered","",""
"cipher_order-tls1_2","www.keiruaprod.fr/213.186.33.4","443","OK","server","",""
"cipherorder_TLSv1_2","www.keiruaprod.fr/213.186.33.4","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","www.keiruaprod.fr/213.186.33.4","443","OK","server","",""
"FS","www.keiruaprod.fr/213.186.33.4","443","OK","offered","",""
"FS_ciphers","www.keiruaprod.fr/213.186.33.4","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384","",""
"FS_ECDHE_curves","www.keiruaprod.fr/213.186.33.4","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.keiruaprod.fr/213.186.33.4","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","www.keiruaprod.fr/213.186.33.4","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.keiruaprod.fr/213.186.33.4","443","INFO","yes","",""
"sessionresumption_ticket","www.keiruaprod.fr/213.186.33.4","443","INFO","not supported","",""
"sessionresumption_ID","www.keiruaprod.fr/213.186.33.4","443","INFO","not supported","",""
"TLS_timestamp","www.keiruaprod.fr/213.186.33.4","443","INFO","random","",""
"certificate_compression","www.keiruaprod.fr/213.186.33.4","443","INFO","none","",""
"clientAuth","www.keiruaprod.fr/213.186.33.4","443","INFO","none","",""
"cert_numbers","www.keiruaprod.fr/213.186.33.4","443","INFO","1","",""
"cert_signatureAlgorithm","www.keiruaprod.fr/213.186.33.4","443","OK","SHA256 with RSA","",""
"cert_keySize","www.keiruaprod.fr/213.186.33.4","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.keiruaprod.fr/213.186.33.4","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.keiruaprod.fr/213.186.33.4","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.keiruaprod.fr/213.186.33.4","443","INFO","03566C7EB83973D39D3725D12E48A9C71D3B","",""
"cert_serialNumberLen","www.keiruaprod.fr/213.186.33.4","443","INFO","18","",""
"cert_fingerprintSHA1","www.keiruaprod.fr/213.186.33.4","443","INFO","57555826A16AEA6F4BBF5E876469A63F4C2E5FD2","",""
"cert_fingerprintSHA256","www.keiruaprod.fr/213.186.33.4","443","INFO","CF78D06E8E77477AC73AF557F3090BE741970E593B7121DC1DAA8F4E7D5E6B38","",""
